IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.18.48,M21,,,,1
192.168.18.49,M21,,,,1
192.168.18.50,M21,,,,1
192.168.18.51,M21,,,,1
192.168.18.52,M21,,,,1
192.168.18.53,M21,,,,1
192.168.18.54,M21,,,,1
192.168.18.55,M21,,,,1
192.168.18.56,M21,,,,1
192.168.18.57,M21,,,,1
192.168.18.58,M21,,,,1
192.168.18.59,M21,,,,1
192.168.18.60,M21,,,,1
192.168.18.61,M21,,,,1
192.168.18.62,M21,,,,1
192.168.18.63,M21,,,,1
192.168.18.64,M21,,,,1
192.168.18.65,M21,,,,1
192.168.18.66,M21,,,,1
192.168.18.67,M21,,,,1
192.168.18.68,M21,,,,1
192.168.18.69,M21,,,,1
192.168.18.70,M21,,,,1
192.168.18.71,M21,,,,1
192.168.18.72,M21,,,,1
192.168.18.73,M21,,,,1
192.168.18.74,M21,,,,1
192.168.18.75,M21,,,,1
192.168.18.76,M21,,,,1
192.168.18.77,M21,,,,1
192.168.18.78,M21,,,,1
192.168.18.79,M21,,,,1
192.168.18.80,M21,,,,1
192.168.18.81,M21,,,,1
192.168.18.82,M21,,,,1
192.168.18.83,M21,,,,1
192.168.18.84,M21,,,,1
192.168.18.85,M21,,,,1
192.168.18.86,M21,,,,1
192.168.18.87,M21,,,,1
192.168.18.88,M21,,,,1
192.168.18.89,M21,,,,1
192.168.18.90,M21,,,,1
192.168.18.91,M21,,,,1
192.168.18.92,M21,,,,1
192.168.18.93,M21,,,,1
192.168.18.94,M21,,,,1
192.168.18.95,M21,,,,1
192.168.18.96,M21,,,,1
192.168.18.97,M21,,,,1
192.168.18.98,M21,,,,1
192.168.18.99,M21,,,,1
192.168.18.100,M21,,,,1
192.168.18.101,M21,,,,1
192.168.19.2,M21,,,,1
192.168.19.3,M21,,,,1
192.168.19.4,M21,,,,1
192.168.19.5,M21,,,,1
192.168.19.6,M21,,,,1
192.168.19.7,M21,,,,1
192.168.19.8,M21,,,,1
192.168.19.9,M21,,,,1
192.168.19.10,M21,,,,1
192.168.19.11,M21,,,,1
192.168.19.12,M21,,,,1
192.168.19.13,M21,,,,1
192.168.19.14,M21,,,,1
192.168.19.15,M21,,,,1
192.168.19.16,M21,,,,1
192.168.19.17,M21,,,,1
192.168.19.18,M21,,,,1
192.168.19.19,M21,,,,1
192.168.19.20,M21,,,,1
192.168.19.21,M21,,,,1
192.168.19.22,M21,,,,1
192.168.19.23,M21,,,,1
192.168.19.24,M21,,,,1
192.168.19.25,M21,,,,1
192.168.19.26,M21,,,,1
192.168.19.27,M21,,,,1
192.168.19.28,M21,,,,1
192.168.19.29,M21,,,,1
192.168.19.30,M21,,,,1
192.168.19.31,M21,,,,1
192.168.19.32,M21,,,,1
192.168.19.33,M21,,,,1
192.168.19.34,M21,,,,1
192.168.19.35,M21,,,,1
192.168.19.36,M21,,,,1
192.168.19.37,M21,,,,1
192.168.19.38,M21,,,,1
192.168.19.39,M21,,,,1
192.168.19.40,M21,,,,1
192.168.19.41,M21,,,,1
192.168.19.42,M21,,,,1
192.168.19.43,M21,,,,1
192.168.19.44,M21,,,,1
192.168.19.45,M21,,,,1
192.168.19.46,M21,,,,1
192.168.19.47,M21,,,,1
192.168.19.48,M21,,,,1
192.168.19.49,M21,,,,1
192.168.19.50,M21,,,,1
192.168.19.51,M21,,,,1
192.168.19.52,M21,,,,1
192.168.19.53,M21,,,,1
192.168.19.54,M21,,,,1
192.168.19.55,M21,,,,1
192.168.19.56,M21,,,,1
192.168.19.57,M21,,,,1
192.168.19.58,M21,,,,1
192.168.19.59,M21,,,,1
192.168.19.60,M21,,,,1
192.168.19.61,M21,,,,1
192.168.19.62,M21,,,,1
